Experiment;Sample_date;Time_years;ambient_CO2;increased_CO2;ambient_CO2_n;increased_CO2_n;Depth
FACTS II - Aspen/Mapel (+O3);30.06.05;11;4093;3723;3;3;0-10 cm
;;;;;;;
GiFACE;01.05.98;0;3420;3528;3;3;0-7.5 cm
GiFACE;01.06.07;9.08;3150;3096;3;3;0-7.5 cm
;;;;;;;
Hohenheim;01.03.04;2;1725;1767;5;5;0-10 cm
Hohenheim;01.10.04;2.5;1707;1641;5;5;0-10 cm
Hohenheim;01.03.05;3;1805;1744;5;5;0-10 cm
Hohenheim;01.10.05;3.5;1567;1588;5;5;0-10 cm
Hohenheim;01.03.06;4;1680;1717;5;5;0-10 cm
Hohenheim;01.10.06;4.5;1721;1763;5;5;0-10 cm
;;;;;;;
Jasper Ridge - sandstone;01.01.92;0;2646;2646;10;10;0-15 cm
Jasper Ridge - sandstone;01.05.93;1.41;2646;2354;10;10;0-15 cm
Jasper Ridge - sandstone;01.05.94;2.41;2252;2339;10;10;0-15 cm
Jasper Ridge - sandstone;01.05.95;3.41;2315;2315;10;10;0-15 cm
Jasper Ridge - sandstone;01.05.96;4.41;2497;2486;10;10;0-15 cm
Jasper Ridge - sandstone;01.05.97;5.41;2612;2750;10;10;0-15 cm
;;;;;;;
JRGCE - Control;22.06.05;2;2384;2344;6;6;0-15 cm
JRGCE - Control;28.06.05;8;2428;2173;6;6;0-15 cm
;;;;;;;
JRGCE - Burn;22.06.05;2;2296;2497;4;4;0-15 cm
JRGCE - Burn;28.06.05;8;2544;2269;4;4;0-15 cm
;;;;;;;
JRGCE - N;22.06.05;2;2248;2381;6;6;0-15 cm
JRGCE - N;28.06.05;8;2552;2329;6;6;0-15 cm
;;;;;;;
JRGCE - N x Burn;22.06.05;2;2359;2425;4;4;0-15 cm
JRGCE - N x Burn;28.06.05;8;2529;2226;4;4;0-15 cm
;;;;;;;
JRGCE - Water;22.06.05;2;2292;2268;6;6;0-15 cm
JRGCE - Water;28.06.05;8;2311;2085;6;6;0-15 cm
;;;;;;;
JRGCE - Water x Burn;22.06.05;2;2394;2563;4;4;0-15 cm
JRGCE - Water x Burn;28.06.05;8;2396;2301;4;4;0-15 cm
;;;;;;;
JRGCE - Water x N;22.06.05;2;2193;2264;6;6;0-15 cm
JRGCE - Water x N;28.06.05;8;2626;2442;6;6;0-15 cm
;;;;;;;
JRGCE - Water x N x Burn;22.06.05;2;2251;2569;4;4;0-15 cm
JRGCE - Water x N x Burn;28.06.05;8;2232;2385;4;4;0-15 cm
;;;;;;;
JRGCE - Heat;22.06.05;2;2298;2295;6;6;0-15 cm
JRGCE - Heat;28.06.05;8;2385;2438;6;6;0-15 cm
;;;;;;;
JRGCE - Heat x N;22.06.05;2;2288;2454;6;6;0-15 cm
JRGCE - Heat x N;28.06.05;8;2283;2449;6;6;0-15 cm
;;;;;;;
JRGCE - Heat x Water;22.06.05;2;2327;2310;6;6;0-15 cm
JRGCE - Heat x Water;28.06.05;8;2074;2414;6;6;0-15 cm
;;;;;;;
JRGCE - Heat x Water x N;22.06.05;2;2393;2453;6;6;0-15 cm
JRGCE - Heat x Water x N;28.06.05;8;2110;2407;6;6;0-15 cm
;;;;;;;
Merritt Island;01.12.96;0.62;1209;1335;8;8;0-10 cm
Merritt Island;01.06.98;2.09;1131;1220;8;8;0-10 cm
Merritt Island;01.07.98;2.17;1264;1292;8;8;0-10 cm
Merritt Island;01.08.98;2.31;1356;1281;8;8;0-10 cm
