TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
201306,8.82,6.86,1.192,9.803,1.983,232.038,301.601,3.797,83.89,3.436,2.075
201307,12.448,10.416,1.331,13.506,2.149,252.563,318.257,5.066,84.248,3.078,1.549
201308,11.605,9.903,1.414,12.708,2.245,216.716,314.281,4.95,84.109,2.964,1.666
201309,8.156,6.881,1.304,9.244,2.137,142.757,301.103,3.576,83.806,2.343,1.704
201310,4.902,3.951,1.152,5.976,1.688,89.397,283.164,2.057,83.824,2.932,1.965
201311,-1.538,-2.298,1.402,-0.439,1.557,54.754,250.494,1.425,83.198,2.281,1.794
201312,-2.431,-3.068,1.131,-1.325,1.588,53.651,224.838,1.902,83.89,1.348,1.546
201401,-2.407,-3.038,0.822,-1.412,1.194,47.311,245.703,1.429,82.872,2.255,1.698
201402,-1.63,-2.561,0.878,-0.454,1.33,82.054,251.038,1.578,82.855,2.468,1.853
201403,1.13,-0.558,1.807,2.757,2.512,165.697,242.012,2.971,83.415,1.237,1.471
201404,3.36,1.792,1.494,4.51,2.226,188.992,261.548,2.845,83.339,2.022,1.585
201405,5.47,3.757,1.391,6.454,2.045,225.892,275.175,3.295,83.565,2.055,2.24
201406,9.815,7.773,1.353,10.838,2.134,251.268,299.848,4.321,83.895,3.575,1.674
201407,10.706,9.01,1.114,11.579,1.837,198.127,321.551,3.726,83.771,4.167,1.898
201408,9.541,8.053,1.098,10.505,1.723,177.028,315.262,2.991,83.762,3.714,1.745
201409,8.08,6.714,1.294,9.254,2.069,153.021,301.676,2.749,83.937,1.916,1.776
201410,5.56,4.288,1.422,7.014,2.09,105.886,280.028,2.417,83.885,1.494,1.949
201411,2.183,1.412,1.11,3.309,1.478,55.467,264.317,1.748,83.283,3.317,1.857
201412,-2.124,-2.635,0.95,-1.232,1.086,39.478,251.97,1.457,83.482,1.215,1.659
